AVG(rendimiento),AVG(u_primera),AVG(u_segunda),COUNT(operario),f_inicio,f_fin,orden,u_primera,u_segunda,rendimiento
98.60000000000001,10,0,7,2022/05/12,2022/05/12,OTO2071460522,10,,98.6
32.699999999999996,2,0,9,2022/05/12,2022/05/12,OTO2072240522,2,,32.7
96.60000000000001,18,0,9,2022/05/12,2022/05/12,OTO2071880522,18,,96.6
86,74,0,6,2022/05/12,2022/05/13,OTO2064070422,74,,86.0
24.099999999999998,2,0,9,2022/05/12,2022/05/12,OTO2072220522,2,,24.1
87.5,8,0,9,2022/05/12,2022/05/12,OTO2071980522,8,,87.5
29.099999999999998,1,0,9,2022/05/12,2022/05/12,OTO2071550522C,1,,29.1
67.2,66,0,9,2022/05/12,2022/05/13,OTO2064070422,66,,67.2
86.3,54,0,6,2022/05/12,2022/05/12,OTO2043250422E1,54,,86.3
29.099999999999998,290,0,9,2022/05/12,2022/05/12,OTO2006020222,290,,29.1
23.399999999999995,30,0,3,2022/05/12,2022/05/12,OTO2011010222,30,,23.4
53.60000000000001,17,0,9,2022/05/12,2022/05/12,OTO2071800522,17,,53.6
69.3,20,0,8,2022/05/12,2022/05/12,OTO2005810222,20,,69.3
0,97,0,6,2022/05/12,2022/05/12,OTO2043220422E1,97,,0.0
9.1,2,0,4,2022/05/12,2022/05/12,OTO2061730422,2,,9.1
34.9,2,0,2,2022/05/12,2022/05/12,OTO2061710422,2,,34.9
80,2,0,1,2022/05/12,2022/05/12,OTO2061700422,2,,80.0
28.6,44,0,4,2022/05/12,2022/05/12,OTO2056770422,44,,28.6
108.29999999999998,24,0,9,2022/05/12,2022/05/12,OTO2072050522,24,,108.3
12.1,2,0,3,2022/05/12,2022/05/12,OTO2061740422,2,,12.1
44.4,2,0,1,2022/05/12,2022/05/12,OTO2061690422,2,,44.4
95.9,20,0,2,2022/05/13,2022/05/13,OTO2042680422E1,20,,95.9
95.89999999999999,17,0,9,2022/05/13,2022/05/13,OTO2064350422,17,,95.9
104.8,20,0,3,2022/05/13,2022/05/13,OTO2064550422,20,,104.8
